地区		2019年	2018年	2017年	2016年	2015年	2014年	2013年	2012年	2011年
北京		35445.10	33106.00	29883.00	27041.20	24779.10	22926.00	21134.60	19024.70	17188.80
天津		14055.50	13362.90	12450.60	11477.20	10879.50	10640.60	9945.40	9043.00	8112.50
石家庄		5810.00	6082.62	6460.88	5927.73	5440.60	5170.27	4863.66	4500.20	4082.68
太原		4029.00	3884.48	3382.18	2955.60	2735.34	2531.09	2412.87	2311.40	2080.12
呼和浩特		2791.00	2903.50	2743.72	3173.59	3090.52	2894.05	2710.39	2475.60	2177.27
沈阳		6470.00	6292.40	5864.97	5546.45	7272.31	7098.71	7158.57	6602.60	5915.71
大连		7002.00	7668.48	7363.92	6810.20	7731.64	7655.58	7650.79	7002.80	6150.63
长春		5904.00	7175.71	6530.03	5986.42	5530.03	5342.43	5003.18	4456.60	4003.08
哈尔滨		5249.00	6300.48	6355.05	6101.61	5751.21	5340.07	5017.05	4550.20	4242.19
上海		37987.60	36011.80	32925.00	29887.00	26887.00	25269.80	23204.10	21305.60	20009.70
南京		14031.00	12820.40	11715.10	10503.02	9720.77	8820.75	8011.78	7201.60	6145.52
杭州		15373.00	13509.15	12603.36	11313.72	10050.21	9206.16	8343.52	7802.00	7019.06
宁波		11985.00	10745.46	9842.10	8686.49	8003.61	7610.28	7128.87	6582.20	6059.24
合肥		9409.00	7822.91	7213.45	6274.38	5660.27	5157.97	4672.91	4164.30	3636.60
福州		9392.00	7856.81	7103.40	6197.64	5618.08	5169.16	4678.50	4218.30	3736.38
厦门		5995.00	4791.41	4351.70	3784.27	3466.03	3273.58	3018.16	2817.10	2539.31
南昌		5596.00	5274.67	5003.19	4354.99	4000.01	3667.96	3336.03	3000.50	2688.87
济南		9443.00	7856.56	7201.96	6536.12	6100.23	5770.60	5230.19	4803.70	4406.29
青岛		11741.00	12001.52	11037.28	10011.29	9300.07	8692.10	8006.60	7302.10	6615.60
郑州		11590.00	10143.32	9130.20	8113.97	7311.52	6776.99	6201.90	5549.80	4979.85
武汉		16223.00	14847.29	13410.34	11912.61	10905.60	10069.48	9051.27	8003.80	6762.20
长沙		11574.00	11003.41	10535.51	9356.91	8510.13	7824.81	7153.13	6399.90	5619.33
广州		23629.00	22859.35	21503.15	19547.44	18100.41	16706.87	15420.14	13551.20	12423.44
深圳		26927.00	24221.98	22490.06	19492.60	17502.86	16001.82	14500.23	12950.10	11505.53
南宁		4507.00	4026.91	4118.83	3703.33	3410.09	3148.30	2803.54	2503.20	2211.40
海口		1672.00	1510.51	1390.58	1257.67	1161.96	1091.70	904.64	818.80	713.30
重庆		23605.80	21588.80	20066.30	18023.00	16040.50	14623.80	13027.60	11595.40	10161.20
成都		17013.00	15342.77	13889.39	12170.23	10801.16	10056.59	9108.89	8138.90	6854.58
贵阳		4040.00	3798.45	3537.96	3157.70	2891.16	2497.27	2085.42	1700.30	1383.07
昆明		6476.00	5206.90	4857.64	4300.08	3968.01	3712.99	3415.31	3011.10	2509.58
拉萨		618.00	540.78	479.25	424.95	376.73	347.45	304.87	260.10	222.42
西安		9321.00	8349.86	7469.85	6257.18	5801.20	5492.64	4884.13	4366.10	3864.21
兰州		2837.00	2732.94	2523.54	2264.23	2095.99	2000.94	1776.28	1563.80	1360.03
西宁		1328.00	1286.41	1284.91	1248.17	1131.62	1065.78	978.53	851.10	770.70
银川		1897.00	1901.48	1803.26	1617.71	1493.86	1388.62	1289.02	1150.90	986.68
乌鲁木齐		3413.00	3099.77	2743.82	2458.98	2631.64	2461.47	2202.85	2004.10	1690.03
